xpath,module,type,enum,kind,description,default,platforms
admin,tree-flat,,,a,,,A
 application-assurance,^,,,a,,,D
  group,^,,,a,,,D
 2 url-list,^,,,a,,,D
  upgrade,^,,,a,,,D
 certificate,^,,,a,,,A
  clear-ocsp-cache,^,,,a,,,D
  cmpv2,^,,,a,,,A
 2 cert-request,^,,,a,,,A
 2 clear-request,^,,,a,,,A
 2 initial-registration,^,,,a,,,A
 2 key-update,^,,,a,,,A
 2 poll,^,,,a,,,A
 2 show-request,^,,,a,,,A
  convert-file,^,,,a,,,A
  crl-update,^,,,a,,,A
  display,^,,,a,,,A
  est,^,,,a,,,A
 2 cacert,^,,,a,,,A
 2 enroll,^,,,a,,,A
 2 renew,^,,,a,,,A
  export,^,,,a,,,A
  gen-keypair,^,,,a,,,A
  gen-local-cert-req,^,,,a,,,A
  import,^,,,a,,,A
  reload,^,,,a,,,A
  secure-nd-export,^,,,a,,,A
  secure-nd-import,^,,,a,,,A
  update-cert,^,,,a,,,A
 clear,^,,,a,,,A
  lockout,^,,,a,,,A
  password-history,^,,,a,,,A
 compare,^,,,a,,,A
 debug-save,^,,,a,,,A
 disconnect,^,,,a,,,A
 display-config,^,,,a,,,A
 enable-tech,^,,,a,,,A
 ipsec,^,,,a,,,D
  display-key,^,,,a,,,D
  transport-mode,^,,,a,,,D
 2 display-key,^,,,a,,,D
 nat,^,,,a,,,D
  save-deterministic-script,^,,,a,,,D
 reboot,^,,,a,,,A
 redundancy,^,,,a,,,A
  force-switchover,^,,,a,,,A
  rollback-sync,^,,,a,,,A
  synchronize,^,,,a,,,A
 reset-policy-exclusive,^,,,a,,,A
 rollback,^,,,a,,,A
  compare,^,,,a,,,A
  delete,^,,,a,,,A
  revert,^,,,a,,,A
  save,^,,,a,,,A
  view,^,,,a,,,A
 satellite,^,,,a,,,C
  eth-sat,^,,,a,,,C
 2 reboot,^,,,a,,,C
 2 sync-boot-env,^,,,a,,,C
 2 tech-support,^,,,a,,,C
  tdm-sat,^,,,a,,,K
 2 reboot,^,,,a,,,K
 2 sync-boot-env,^,,,a,,,K
 2 tech-support,^,,,a,,,K
 save,^,,,a,,,A
 set-time,^,,,a,,,A
 system,^,,,a,,,A
  license,^,,,a,,,A
 2 activate,^,,,a,,,A
 2 clear,^,,,a,,,A
 2 validate,^,,,a,,,A
  security,^,,,a,,,A
 2 hash-control,^,,,a,,,A
 3 custom-hash,^,,,a,,,A
 2 image-digital-signature-validate,^,,,a,,,C
 2 secure-boot,^,,,a,,,R
 3 activate,^,,,a,,,R
 3 revoke-key,^,,,a,,,R
 3 update-key,^,,,a,,,R
 3 validate,^,,,a,,,R
 2 system-password,^,,,a,,,A
  telemetry,^,,,a,,,A
 2 grpc,^,,,a,,,A
 3 subscription,^,,,a,,,A
 tech-support,^,,,a,,,A
 view,^,,,a,,,A
back,^,,,a,,,A
bof,^,,,a,,,A
 address,^,,,a,,,A
 auto-boot,^,,,a,,,Q
 autoconfigure,^,,,a,,,Q
  ipv4,^,,,a,,,Q
 2 dhcp,^,,,a,,,Q
  ipv6,^,,,a,,,Q
 2 dhcp,^,,,a,,,Q
 autonegotiate,^,,,a,,,A
 console-speed,^,,,a,,,s
 dns-domain,^,,,a,,,A
 duplex,^,,,a,,,A
 encrypt,^,,,a,,,B
 encryption-key,^,,,a,,,B
 ess-system-type,^,,,a,,,AM
 fips-140,^,,,a,,,C
 ip-mtu,^,,,a,,,A
 li-local-save,^,,,a,,,A
 li-separate,^,,,a,,,A
 license-file,^,,,a,,,A
 password,^,,,a,,,B
 persist,^,,,a,,,A
 primary-config,^,,,a,,,A
 primary-dns,^,,,a,,,A
 primary-image,^,,,a,,,A
 save,^,,,a,,,A
 secondary-config,^,,,a,,,A
 secondary-dns,^,,,a,,,A
 secondary-image,^,,,a,,,A
 speed,^,,,a,,,A
 static-route,^,,,a,,,A
 system-base-mac,^,,,a,,,n
 system-profile,^,,,a,,,A
 tertiary-config,^,,,a,,,A
 tertiary-dns,^,,,a,,,A
 tertiary-image,^,,,a,,,A
 wait,^,,,a,,,A
candidate,^,,,a,,,A
 commit,^,,,a,,,A
 confirm,^,,,a,,,A
 copy,^,,,a,,,A
 delete,^,,,a,,,A
 discard,^,,,a,,,A
 edit,^,,,a,,,g
 goto,^,,,a,,,A
 insert,^,,,a,,,A
 load,^,,,a,,,A
 quit,^,,,a,,,A
 redo,^,,,a,,,A
 replace,^,,,a,,,A
 save,^,,,a,,,A
 undo,^,,,a,,,A
 view,^,,,a,,,A
clear,^,,,a,,,A
 aaa,^,,,a,,,B
  diameter-node,^,,,a,,,B
  isa-radius-policy,^,,,a,,,D
  l2tp-accounting-policy,^,,,a,,,B
  radius-server-policy,^,,,a,,,B
  route-downloader,^,,,a,,,B
 anysec,^,,,a,,,T
 application-assurance,^,,,a,,,D
  group,^,,,a,,,D
 2 cflowd,^,,,a,,,D
 2 event-log,^,,,a,,,D
 2 gtp,^,,,a,,,D
 2 statistics,^,,,a,,,D
 2 status,^,,,a,,,D
  radius-accounting-policy,^,,,a,,,D
 call-trace,^,,,a,,,B
  ipoe,^,,,a,,,B
 2 session,^,,,a,,,B
 2 trace,^,,,a,,,B
  pppoe,^,,,a,,,B
 2 session,^,,,a,,,B
  trace,^,,,a,,,B
 card,^,,,a,,,A
  virtual,^,,,a,,,V
 2 cpu-scheduling,^,,,a,,,V
 cflowd,^,,,a,,,A
 chassis,^,,,a,,,c
  power-shelf,^,,,a,,,c
 2 power-module,^,,,a,,,c
 cpm-filter,^,,,a,,,C
  ip-filter,^,,,a,,,C
  ipv6-filter,^,,,a,,,C
  mac-filter,^,,,a,,,C
 cpm-queue,^,,,a,,,C
 cpu-protection,^,,,a,,,P
  eth-cfm-monitoring,^,,,a,,,P
  excessive-sources,^,,,a,,,P
  protocol-protection,^,,,a,,,P
  violators,^,,,a,,,P
 esa,^,,,a,,,N
 esa-vm,^,,,a,,,N
 eth-cfm,^,,,a,,,C
  auto-discovered-meps,^,,,a,,,C
  learned-remote-mac,^,,,a,,,C
  mep,^,,,a,,,C
  statistics,^,,,a,,,C
 filter,^,,,a,,,A
  ip,^,,,a,,,A
  ip-exception,^,,,a,,,V
  ipv6,^,,,a,,,A
  ipv6-exception,^,,,a,,,V
  log,^,,,a,,,A
  mac,^,,,a,,,A
 group-encryption,^,,,a,,,D
  encryption-keygroup,^,,,a,,,D
 ip,^,,,a,,,D
  tunnel,^,,,a,,,D
 ipsec,^,,,a,,,D
  gateway,^,,,a,,,D
  lockout,^,,,a,,,D
  stats,^,,,a,,,D
 2 ike-stats,^,,,a,,,D
  transport-mode,^,,,a,,,D
  tunnel,^,,,a,,,D
 isa,^,,,a,,,D
  lns-group,^,,,a,,,D
 lag,^,,,a,,,A
  vlan-qos,^,,,a,,,
 li,^,,,a,,,A
  filter,^,,,a,,,A
 2 li-ip,^,,,a,,,A
 2 li-ipv6,^,,,a,,,A
 2 li-mac,^,,,a,,,A
  log,^,,,a,,,A
  radius,^,,,a,,,A
 2 mirror-dest,^,,,a,,,A
 log,^,,,a,,,A
  event-handling,^,,,a,,,A
 2 handler,^,,,a,,,A
 2 information,^,,,a,,,A
  log-events,^,,,a,,,A
  log-id,^,,,a,,,A
 macsec,^,,,a,,,A
  mka-session,^,,,a,,,A
 management-access-filter,^,,,a,,,A
  ip-filter,^,,,a,,,A
  ipv6-filter,^,,,a,,,A
  mac-filter,^,,,a,,,A
 mcast-management,^,,,a,,,A
  mcast-reporting-dest,^,,,a,,,A
 mda,^,,,a,,,A
 nat,^,,,a,,,D
  classic-lsn-sub,^,,,a,,,D
  dslite-lsn-sub,^,,,a,,,D
  isa,^,,,a,,,D
 2 map-t-group,^,,,a,,,Y
 2 nat-group,^,,,a,,,D
  l2-aware-sub,^,,,a,,,D
  map,^,,,a,,,S
 2 statistics,^,,,a,,,S
  nat64-lsn-sub,^,,,a,,,D
  subscriber-identification,^,,,a,,,D
  system-statistics,^,,,a,,,D
  upnp-mappings,^,,,a,,,D
  upnp-policy-statistics,^,,,a,,,D
 oam-pm,^,,,a,,,A
 open-flow,^,,,a,,,V
 pools,^,,,a,,,C
 port,^,,,a,,,A
  ethernet,^,,,a,,,A
 2 dampening,^,,,a,,,A
 2 efm-oam,^,,,a,,,A
 3 events,^,,,a,,,A
  hw-agg-shaper-sched,^,,,a,,,L
  port-queues,^,,,a,,,A
  port-scheduler,^,,,a,,,A
  vport,^,,,a,,,A
 pw-port,^,,,a,,,A
 python,^,,,a,,,A
  python-policy,^,,,a,,,A
  python-script,^,,,a,,,N
 qos,^,,,a,,,A
  arbiter-stats,^,,,a,,,F
 2 card,^,,,a,,,F
 2 customer,^,,,a,,,F
 2 port,^,,,a,,,F
 2 sap,^,,,a,,,F
 2 subscriber,^,,,a,,,F
  scheduler-stats,^,,,a,,,A
 2 customer,^,,,a,,,A
 2 port,^,,,a,,,A
 2 sap,^,,,a,,,A
 2 subscriber,^,,,a,,,A
  shared-policer,^,,,a,,,
 radius,^,,,a,,,B
 reassembly-statistics,^,,,a,,,D
 redundancy,^,,,a,,,A
  multi-chassis,^,,,a,,,A
 2 mc-endpoint,^,,,a,,,A
 2 mc-lag,^,,,a,,,A
 2 mc-ring,^,,,a,,,A
 3 debounce,^,,,a,,,A
 3 ring-nodes,^,,,a,,,A
 3 statistics,^,,,a,,,A
 4 global,^,,,a,,,A
 4 peer,^,,,a,,,A
 4 ring,^,,,a,,,A
 4 ring-node,^,,,a,,,A
 2 sync-database,^,,,a,,,A
 2 wpp,^,,,a,,,B
 router,^,,,a,,,A
  arp,^,,,a,,,A
  authentication,^,,,a,,,A
 2 statistics,^,,,a,,,A
  autoconfigure,^,,,a,,,Q
 2 dhcp-client,^,,,a,,,Q
 2 dhcp6-client,^,,,a,,,Q
 2 router-advertisement,^,,,a,,,Q
 3 statistics,^,,,a,,,Q
  bfd,^,,,a,,,A
 2 seamless-bfd,^,,,a,,,A
 3 session,^,,,a,,,A
 3 statistics,^,,,a,,,A
 2 session,^,,,a,,,A
 2 statistics,^,,,a,,,A
  bgp,^,,,a,,,A
 2 damping,^,,,a,,,A
 2 flap-statistics,^,,,a,,,A
 2 neighbor,^,,,a,,,A
 2 protocol,^,,,a,,,A
 2 traffic-statistics,^,,,a,,,A
  bier,^,,,a,,,A
 2 database,^,,,a,,,A
 2 statistics,^,,,a,,,A
  bmp,^,,,a,,,A
 2 station,^,,,a,,,A
  dhcp,^,,,a,,,A
 2 local-dhcp-server,^,,,a,,,B
 3 declined-addresses,^,,,a,,,B
 3 failover-pool-stats,^,,,a,,,B
 3 leases,^,,,a,,,B
 3 pool-ext-stats,^,,,a,,,B
 3 server-stats,^,,,a,,,B
 3 sticky-leases,^,,,a,,,B
 3 subnet-ext-stats,^,,,a,,,B
 2 statistics,^,,,a,,,A
  dhcp6,^,,,a,,,A
 2 local-dhcp-server,^,,,a,,,B
 3 failover-pool-stats,^,,,a,,,B
 3 leases,^,,,a,,,B
 3 pool-ext-stats,^,,,a,,,B
 3 pool-threshold-stats,^,,,a,,,B
 3 prefix-ext-stats,^,,,a,,,B
 3 prefix-threshold-stats,^,,,a,,,B
 3 server-stats,^,,,a,,,B
 2 statistics,^,,,a,,,A
  forwarding-table,^,,,a,,,A
  grt-lookup,^,,,a,,,A
  gtp,^,,,a,,,E
 2 peer,^,,,a,,,E
 2 uplink,^,,,a,,,E
 3 mgw-address-cache,^,,,a,,,E
  icmp,^,,,a,,,A
  icmp-redirect-route,^,,,a,,,A
  icmp6,^,,,a,,,A
  icmp6-redirect-route,^,,,a,,,A
  igmp,^,,,a,,,A
 2 database,^,,,a,,,A
 2 mcast-reporting-statistics,^,,,a,,,A
 2 statistics,^,,,a,,,A
 2 version,^,,,a,,,A
  interface,^,,,a,,,A
  isis,^,,,a,,,A
 2 adjacency,^,,,a,,,A
 2 database,^,,,a,,,A
 2 export,^,,,a,,,A
 2 overload,^,,,a,,,A
 2 sid-egress-stats,^,,,a,,,A
 2 sid-ingress-stats,^,,,a,,,A
 2 spf-log,^,,,a,,,A
 2 statistics,^,,,a,,,A
  l2tp,^,,,a,,,B
 2 group,^,,,a,,,B
 3 statistics,^,,,a,,,B
 3 tunnel,^,,,a,,,B
 4 tunnel-selection-blacklist,^,,,a,,,B
 3 tunnel-selection-blacklist,^,,,a,,,B
 2 peer,^,,,a,,,B
 3 statistics,^,,,a,,,B
 3 tunnel-selection-blacklist,^,,,a,,,B
 2 session,^,,,a,,,B
 2 statistics,^,,,a,,,B
 2 tunnel,^,,,a,,,B
 3 statistics,^,,,a,,,B
 3 tunnel-selection-blacklist,^,,,a,,,B
 2 tunnel-selection-blacklist,^,,,a,,,B
  ldp,^,,,a,,,A
 2 fec-egress-statistics,^,,,a,,,A
 2 instance,^,,,a,,,A
 2 interface,^,,,a,,,A
 2 peer,^,,,a,,,A
 2 resource-failures,^,,,a,,,A
 2 session,^,,,a,,,A
 2 statistics,^,,,a,,,A
 2 targeted-auto-rx,^,,,a,,,A
  mcac,^,,,a,,,A
 2 statistics,^,,,a,,,A
  mld,^,,,a,,,A
